n_voters,n_alternatives,p_no_winner
53,4,0.186
58,1,0.0
36,9,0.6488
47,5,0.238
48,7,0.5568
42,7,0.5552
50,4,0.3532
56,3,0.2336
51,5,0.2528
48,5,0.438
40,8,0.6212
53,3,0.0796
54,5,0.4408
48,8,0.5908
59,2,0.0
46,9,0.6272
51,4,0.1736
46,6,0.506
37,9,0.4484
38,9,0.62
52,6,0.5
56,4,0.3424
36,10,0.688
58,3,0.2432
49,5,0.2256
50,5,0.4288
57,2,0.0
59,1,0.0
60,1,0.0
39,9,0.4436
47,6,0.3216
51,7,0.3536
42,8,0.6168
61,1,0.0
58,2,0.1084
60,2,0.1088
54,4,0.3464
59,3,0.0788
58,4,0.3416
48,6,0.5124
45,7,0.368
46,7,0.554
61,2,0.0
38,10,0.6736
60,3,0.2368
57,3,0.084
37,10,0.4864
49,6,0.3076
53,7,0.3592
49,9,0.4472
59,4,0.1812
52,5,0.4156
49,8,0.4144
44,8,0.6188
57,4,0.1864
47,10,0.484
55,4,0.1684
50,9,0.6152
50,6,0.5008
48,10,0.652
47,7,0.3456
64,1,0.0
41,9,0.4516
60,4,0.3496
63,2,0.0
62,1,0.0
53,5,0.2392
45,10,0.4764
40,10,0.6696
55,7,0.3756
59,5,0.2688
45,8,0.4084
53,8,0.4072
51,6,0.3184
63,1,0.0
46,8,0.6124
64,2,0.1056
56,7,0.5428
55,5,0.2296
62,2,0.106
60,5,0.4148
49,7,0.362
43,9,0.4392
44,9,0.6252
66,1,0.0
62,4,0.3424
50,7,0.5552
65,2,0.0
57,5,0.2292
47,8,0.4128
56,5,0.4292
42,10,0.6648
41,10,0.4828
55,8,0.4372
53,6,0.3264
56,8,0.5776
58,7,0.5336
67,1,0.0
65,1,0.0
53,9,0.4208
54,9,0.6264
61,3,0.0844
54,6,0.4972
52,10,0.6408
45,9,0.4288
65,3,0.086
68,1,0.0
62,3,0.24
47,9,0.4568
62,5,0.4152
58,5,0.4208
57,8,0.4184
43,10,0.4804
52,7,0.5476
66,3,0.2276
63,3,0.0896
44,10,0.658
55,6,0.3184
63,5,0.2564
50,8,0.5932
69,1,0.0
61,6,0.3248
56,6,0.4992
65,4,0.1724
54,10,0.6624
66,2,0.0916
61,4,0.19
67,3,0.0876
70,1,0.0
64,3,0.234
48,9,0.6248
54,7,0.5456
57,6,0.3176
67,2,0.0
46,10,0.6632
51,8,0.4004
58,6,0.5024
58,9,0.6056
60,8,0.5988
61,7,0.3564
52,8,0.594
67,4,0.1672
63,4,0.1932
68,2,0.0948
62,7,0.5296
66,5,0.4164
68,4,0.3348
70,3,0.2148
61,5,0.2456
73,1,0.0
71,1,0.0
64,4,0.348
69,2,0.0
59,6,0.3104
72,2,0.0916
65,6,0.3124
63,7,0.372
71,3,0.0876
54,8,0.5876
64,6,0.4688
57,7,0.3972
61,8,0.3964
60,6,0.4908
72,1,0.0
73,2,0.0
70,2,0.1112
51,9,0.4364
70,4,0.3248
68,3,0.2464
74,1,0.0
71,2,0.0
66,4,0.35
52,9,0.6356
69,3,0.092
67,6,0.314
74,2,0.096
75,1,0.0
64,5,0.4172
59,10,0.488
49,10,0.4696
59,7,0.3568
66,7,0.5208
61,9,0.4516
76,1,0.0
72,4,0.3396
60,7,0.5348
62,6,0.5036
64,8,0.5776
50,10,0.656
65,5,0.2496
74,3,0.2244
77,1,0.0
71,5,0.2536
63,6,0.306
58,8,0.59
51,10,0.47
69,4,0.1748
63,9,0.4556
75,3,0.0852
56,9,0.6208
72,3,0.2224
72,5,0.4004
66,8,0.5904
73,3,0.0672
67,5,0.2576
76,3,0.2148
55,9,0.4524
75,2,0.0
79,1,0.0
59,8,0.406
69,7,0.3572
68,5,0.4256
78,2,0.0868
71,4,0.1536
77,3,0.0768
65,9,0.4456
76,2,0.09
70,7,0.522
74,5,0.4128
53,10,0.4888
68,8,0.5732
78,1,0.0
66,6,0.4964
80,1,0.0
57,9,0.4272
77,2,0.0
65,8,0.4216
69,5,0.258
62,10,0.634
65,7,0.3636
70,5,0.4232
73,4,0.1672
57,10,0.4724
64,7,0.544
80,2,0.0916
72,7,0.5256
56,10,0.636
70,8,0.5792
76,5,0.4088
68,6,0.4808
55,10,0.4864
62,8,0.6028
74,4,0.3284
68,9,0.6232
82,1,0.0
81,2,0.0
59,9,0.452
71,8,0.4204
60,9,0.6132
79,4,0.1732
69,6,0.3264
81,1,0.0
