"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0.043,-0.0119590759277,0.741767883301,0.0043,0.019359588623,-1.56764984131,0.0043,0.0342559814453,1.59854888916,0.0043,0.0692367553711,0.839042663574,0.0043,-0.0864791870117,-1.09367370605,0.0043,-0.111122131348,-0.613594055176,0.0043,-0.0916481018066,1.20964050293
0.044,-0.0125694274902,-0.540542602539,0.0044,0.0239181518555,-1.33380889893,0.0044,0.023307800293,1.86004638672,0.0044,0.0549507141113,1.41639709473,0.0044,-0.0597190856934,-1.75609588623,0.0044,-0.0898361206055,-1.48868560791,0.0044,-0.12845993042,0.0154495239258
0.045,-0.00831604003906,-1.61018371582,0.0045,0.026969909668,-1.06639862061,0.0045,0.0102424621582,2.0149230957,0.0045,0.0342559814453,1.82952880859,0.0045,-0.0214004516602,-2.09331512451,0.0045,-0.0372123718262,-2.04486846924,0.0045,-0.119018554688,-1.20296478271
0.046,-0.000705718994141,-2.03876495361,0.0046,0.0303077697754,-0.78067779541,0.0046,-0.00284194946289,2.02713012695,0.0046,0.0105476379395,2.02713012695,0.0046,0.0190544128418,-2.03876495361,0.0046,0.0208854675293,-2.03266143799,0.0046,-0.0560760498047,-1.98097229004
0.047,0.0071907043457,-1.67407989502,0.0047,0.0318336486816,-0.464630126953,0.0047,-0.013484954834,1.9115447998,0.0047,-0.0131797790527,1.96628570557,0.0047,0.0537300109863,-1.6040802002,0.0047,0.0716781616211,-1.46141052246,0.0047,0.0254440307617,-2.01435089111
0.048,0.0120544433594,-0.634765625,0.0048,0.0327491760254,-0.139427185059,0.0048,-0.0247383117676,1.68075561523,0.0048,-0.0341606140137,1.67465209961,0.0048,0.0817108154297,-0.865745544434,0.0048,0.106658935547,-0.507164001465,0.0048,0.0935745239258,-1.2882232666
0.049,0.0129699707031,0.577545166016,0.0049,0.0339508056641,0.188636779785,0.0049,-0.0359916687012,1.33724212646,0.0049,-0.0536346435547,1.17626190186,0.0049,0.0944900512695,0.0185012817383,0.0049,0.110912322998,0.577545166016,0.0049,0.130367279053,-0.0968933105469
0.05,0.0078010559082,1.65634155273,0.005,0.0336647033691,0.510787963867,0.005,-0.0448226928711,0.905799865723,0.005,-0.0664138793945,0.538063049316,0.005,0.0865745544434,0.89054107666,0.005,0.0817108154297,1.49230957031,0.005,0.116081237793,1.11846923828
0.051,-0.000114440917969,2.10914611816,0.0051,0.0321388244629,0.829887390137,0.0051,-0.0509071350098,0.416564941406,0.0051,-0.0718879699707,-0.169944763184,0.0051,0.0616455078125,1.5926361084,0.0051,0.0290870666504,1.98764801025,0.0051,0.0543403625488,1.89647674561
0.052,-0.00648498535156,1.75666809082,0.0052,0.0293922424316,1.11846923828,0.0052,-0.0524139404297,-0.102996826172,0.0052,-0.0706672668457,-0.874900817871,0.0052,0.0254440307617,1.98154449463,0.0052,-0.0268745422363,1.89952850342,0.0052,-0.0268745422363,1.92070007324
0.053,-0.012264251709,0.741767883301,0.0053,0.0260543823242,1.3858795166,0.0053,-0.0524139404297,-0.616645812988,0.0053,-0.0588035583496,-1.47037506104,0.0053,-0.013484954834,1.98154449463,0.0053,-0.0752258300781,1.27658843994,0.0053,-0.0919532775879,1.21269226074
0.054,-0.0131797790527,-0.540542602539,0.0054,0.0226974487305,1.62601470947,0.0054,-0.0496864318848,-1.09672546387,0.0054,-0.0384330749512,-1.90200805664,0.0054,-0.0481605529785,1.59854888916,0.0054,-0.105953216553,0.292015075684,0.0054,-0.128765106201,0.0123977661133
0.055,-0.00862121582031,-1.61018371582,0.0055,0.0184440612793,1.81140899658,0.0055,-0.0414657592773,-1.51901245117,0.0055,-0.013484954834,-2.1146774292,0.0055,-0.0755310058594,0.893592834473,0.0055,-0.109596252441,-0.789833068848,0.0055,-0.119018554688,-1.19705200195
0.056,-0.000705718994141,-2.03876495361,0.0056,0.0141906738281,1.96628570557,0.0056,-0.0302124023438,-1.83811187744,0.0056,0.0108528137207,-2.08129882812,0.0056,-0.090446472168,0.0246047973633,0.0056,-0.080394744873,-1.66492462158,0.0056,-0.0566864013672,-1.98402404785
0.057,0.0071907043457,-1.67407989502,0.0057,0.00871658325195,2.06661224365,0.0057,-0.0174331665039,-2.04772949219,0.0057,0.0324440002441,-1.80473327637,0.0057,-0.0901412963867,-0.865745544434,0.0057,-0.0241279602051,-2.09331512451,0.0057,0.0251388549805,-2.01435089111
0.058,0.0126647949219,-0.637817382812,0.0058,0.00385284423828,2.1183013916,0.0058,-0.00375747680664,-2.13603973389,0.0058,0.0543403625488,-1.3277053833,0.0058,-0.0691413879395,-1.59816741943,0.0058,0.0342559814453,-1.94149017334,0.0058,0.0935745239258,-1.28517150879
0.059,0.0126647949219,0.571632385254,0.0059,-0.00162124633789,2.12135314941,0.0059,0.00871658325195,-2.08435058594,0.0059,0.0671195983887,-0.695610046387,0.0059,-0.0326538085938,-2.0357131958,0.0059,0.0829315185547,-1.2638092041,0.0059,0.131587982178,-0.0968933105469
0.06,0.00932693481445,1.65023803711,0.006,-0.00587463378906,2.06966400146,0.006,0.0202751159668,-1.90811157227,0.006,0.0741004943848,0.00629425048828,0.006,0.0084114074707,-2.09331512451,0.006,0.111217498779,-0.248908996582,0.006,0.115776062012,1.12152099609
0.061,0.000190734863281,2.09999084473,0.0061,-0.0104522705078,1.97238922119,0.0061,0.0318336486816,-1.61628723145,0.0061,0.0704574584961,0.702285766602,0.0061,0.0446128845215,-1.75609588623,0.0061,0.106658935547,0.823783874512,0.0061,0.0537300109863,1.89647674561
0.062,-0.00709533691406,1.75666809082,0.0062,-0.0150108337402,1.82037353516,0.0062,0.0418663024902,-1.22127532959,0.0062,0.0579833984375,1.32217407227,0.0062,0.0741004943848,-1.09977722168,0.0062,0.0701522827148,1.65939331055,0.0062,-0.0244331359863,1.92985534668
0.063,-0.0119590759277,0.738716125488,0.0063,-0.0189590454102,1.62906646729,0.0063,0.0488662719727,-0.756454467773,0.0063,0.0394439697266,1.76582336426,0.0063,0.0923538208008,-0.239753723145,0.0063,0.00871658325195,2.02713012695,0.0063,-0.0919532775879,1.20964050293
0.064,-0.0131797790527,-0.537490844727,0.0064,-0.0232124328613,1.39503479004,0.0064,0.0534248352051,-0.24585723877,0.0064,0.0151062011719,2.00271606445,0.0064,0.0905227661133,0.64754486084,0.0064,-0.0393486022949,1.80225372314,0.0064,-0.128154754639,0.0154495239258
0.065,-0.00862121582031,-1.61628723145,0.0065,-0.0262641906738,1.13067626953,0.0065,0.0531196594238,0.267601013184,0.0065,-0.00923156738281,1.99375152588,0.0065,0.0704574584961,1.41639709473,0.0065,-0.0849723815918,1.06983184814,0.0065,-0.117511749268,-1.25160217285
0.066,-0.000705718994141,-2.0357131958,0.0066,-0.0286865234375,0.839042663574,0.0066,0.0509834289551,0.76904296875,0.0066,-0.0308227539062,1.73835754395,0.0066,0.0363922119141,1.89952850342,0.0066,-0.10929107666,0.0368118286133,0.0066,-0.0569725036621,-1.98402404785
0.067,0.00749588012695,-1.66492462158,0.0067,-0.03173828125,0.529098510742,0.0067,0.0443077087402,1.2279510498,0.0067,-0.0496864318848,1.27658843994,0.0067,-0.00284194946289,2.02102661133,0.0067,-0.106563568115,-1.02081298828,0.0067,0.0254440307617,-2.01435089111
0.068,0.0117492675781,-0.631713867188,0.0068,-0.0323486328125,0.200843811035,0.0068,0.0351715087891,1.59854888916,0.0068,-0.0642776489258,0.656700134277,0.0068,-0.0381278991699,1.71413421631,0.0068,-0.0676345825195,-1.80473327637,0.0068,0.093879699707,-1.2882232666
0.069,0.0129699707031,0.580596923828,0.0069,-0.032958984375,-0.127410888672,0.0069,0.023307800293,1.86595916748,0.0069,-0.0718879699707,-0.0453948974609,0.0069,-0.0688362121582,1.11541748047,0.0069,-0.00923156738281,-2.1146774292,0.0069,0.131587982178,-0.0938415527344
0.07,0.0084114074707,1.65328979492,0.007,-0.032958984375,-0.449371337891,0.007,0.0102424621582,2.0149230957,0.007,-0.072193145752,-0.741195678711,0.007,-0.0886154174805,0.282859802246,0.007,0.0464248657227,-1.82304382324,0.007,0.116081237793,1.11846923828
0.071,0.000801086425781,2.10304260254,0.0071,-0.03173828125,-0.759315490723,0.0071,-0.00223159790039,2.03323364258,0.0071,-0.0606346130371,-1.43089294434,0.0071,-0.0916481018066,-0.613594055176,0.0071,0.091438293457,-1.04503631592,0.0071,0.0534248352051,1.89952850342
0.072,-0.00679016113281,1.75361633301,0.0072,-0.030517578125,-1.05724334717,0.0072,-0.0140953063965,1.91459655762,0.0072,-0.0426864624023,-1.83506011963,0.0072,-0.0779724121094,-1.40972137451,0.0072,0.113048553467,0.00324249267578,0.0072,-0.0241279602051,1.93290710449
0.073,-0.0119590759277,0.738716125488,0.0073,-0.0271797180176,-1.32465362549,0.0073,-0.0253486633301,1.686668396,0.0073,-0.0192642211914,-2.09331512451,0.0073,-0.0445175170898,-1.94454193115,0.0073,0.100879669189,1.04866027832,0.0073,-0.0919532775879,1.20964050293
0.074,-0.013484954834,-0.540542602539,0.0074,-0.0238227844238,-1.56154632568,0.0074,-0.0353813171387,1.33419036865,0.0074,0.00688552856445,-2.10857391357,0.0074,-0.00345230102539,-2.12078094482,0.0074,0.0592041015625,1.79004669189,0.0074,-0.127849578857,0.0123977661133
