"100hz: Time (s)","100hz: Current (A)","100hz: Potential (V)","250hz: Time (s)","250hz: Current (A)","250hz: Potential (V)","400hz: Time (s)","400hz: Current (A)","400hz: Potential (V)","550hz: Time (s)","550hz: Current (A)","550hz: Potential (V)","700hz: Time (s)","700hz: Current (A)","700hz: Potential (V)","850hz: Time (s)","850hz: Current (A)","850hz: Potential (V)","1000hz: Time (s)","1000hz: Current (A)","1000hz: Potential (V)"
0.1108,-0.0136375427246,-0.602149963379,0.1108,-0.109443664551,-1.27067565918,0.1108,0.0894546508789,1.77707672119,0.1108,0.0794219970703,0.622367858887,0.1108,-0.0641250610352,-1.89361572266,0.1108,0.029239654541,1.9624710083,0.1108,-0.0559234619141,0.0844955444336
0.1109,-0.0215530395508,-0.711631774902,0.1109,-0.102767944336,-1.03378295898,0.1109,0.0964546203613,1.5552520752,0.1109,0.065746307373,-0.0492095947266,0.1109,-0.0772094726562,-1.37710571289,0.1109,0.053882598877,1.58576965332,0.1109,-0.0312805175781,1.24835968018
0.111,-0.0288581848145,-0.823974609375,0.111,-0.0936317443848,-0.766372680664,0.111,0.0967597961426,1.23310089111,0.111,0.0435447692871,-0.717735290527,0.111,-0.0762939453125,-0.611305236816,0.111,0.0617790222168,0.743865966797,0.111,0.00278472900391,1.91078186035
0.1111,-0.036449432373,-0.924301147461,0.1111,-0.0817680358887,-0.489807128906,0.1111,0.0909805297852,0.823020935059,0.1111,0.0158500671387,-1.3162612915,0.1111,-0.061092376709,0.27904510498,0.1111,0.0517463684082,-0.301361083984,0.1111,0.0353240966797,1.84097290039
0.1112,-0.0443649291992,-1.01852416992,0.1112,-0.0671768188477,-0.189018249512,0.1112,0.0794219970703,0.364112854004,0.1112,-0.0142478942871,-1.76296234131,0.1112,-0.0358390808105,1.0721206665,0.1112,0.0246810913086,-1.33457183838,0.1112,0.0529670715332,1.03874206543
0.1113,-0.0516700744629,-1.11885070801,0.1113,-0.0522613525391,0.105857849121,0.1113,0.062084197998,-0.1220703125,0.1113,-0.042839050293,-2.00004577637,0.1113,-0.00452041625977,1.67083740234,0.1113,-0.00785827636719,-1.92699432373,0.1113,0.0493240356445,-0.170707702637
0.1114,-0.0583457946777,-1.21288299561,0.1114,-0.0346374511719,0.406646728516,0.1114,0.0414085388184,-0.605201721191,0.1114,-0.0665664672852,-2.01225280762,0.1114,0.0274085998535,1.95026397705,0.1114,-0.0398063659668,-2.04257965088,0.1114,0.0246810913086,-1.33762359619
0.1115,-0.0653457641602,-1.29203796387,0.1115,-0.0176048278809,0.689315795898,0.1115,0.0173759460449,-1.05495452881,0.1115,-0.0839042663574,-1.79042816162,0.1115,0.053882598877,1.83792114258,0.1115,-0.0629234313965,-1.6019821167,0.1115,-0.00938415527344,-2.01511383057
0.1116,-0.0717353820801,-1.37405395508,0.1116,0.000648498535156,0.965690612793,0.1116,-0.00755310058594,-1.44386291504,0.1116,-0.0912094116211,-1.36184692383,0.1116,0.0690841674805,1.36089324951,0.1116,-0.0687026977539,-0.714683532715,0.1116,-0.0422286987305,-1.92413330078
0.1117,-0.0790405273438,-1.44081115723,0.1117,0.0185966491699,1.21192932129,0.1117,-0.0325012207031,-1.73873901367,0.1117,-0.0884628295898,-0.778388977051,0.1117,0.0699996948242,0.634574890137,0.1117,-0.0565338134766,0.333786010742,0.1117,-0.059871673584,-1.12781524658
0.1118,-0.0848197937012,-1.51386260986,0.1118,0.0359344482422,1.42765045166,0.1118,-0.0562286376953,-1.93004608154,0.1118,-0.0741767883301,-0.112915039062,0.1118,0.0578308105469,-0.228500366211,0.1118,-0.0291633605957,1.29089355469,0.1118,-0.0559234619141,0.0844955444336
0.1119,-0.0902938842773,-1.5775680542,0.1119,0.0532722473145,1.61914825439,0.1119,-0.0753784179688,-2.00614929199,0.1119,-0.0534820556641,0.558662414551,0.1119,0.0331878662109,-1.06105804443,0.1119,0.00431060791016,1.87129974365,0.1119,-0.0318908691406,1.24835968018
0.112,-0.0957679748535,-1.63536071777,0.112,0.0681686401367,1.75590515137,0.112,-0.0921058654785,-1.95446014404,0.112,-0.025806427002,1.16024017334,0.112,0.00186920166016,-1.70822143555,0.112,0.0362396240234,1.91688537598,0.112,0.00308990478516,1.91383361816
0.1121,-0.100326538086,-1.68704986572,0.1121,0.0827789306641,1.8590927124,0.1121,-0.101547241211,-1.78737640381,0.1121,0.00339508056641,1.62220001221,0.1121,-0.0300598144531,-2.03037261963,0.1121,0.0572204589844,1.42154693604,0.1121,0.0350189208984,1.83792114258
0.1122,-0.104885101318,-1.72653198242,0.1122,0.0943374633789,1.91078186035,0.1122,-0.1051902771,-1.51386260986,0.1122,0.0322914123535,1.88045501709,0.1122,-0.0580406188965,-1.97868347168,0.1122,0.0608825683594,0.510025024414,0.1122,0.0529670715332,1.0326385498
0.1123,-0.108833312988,-1.76296234131,0.1123,0.104064941406,1.9229888916,0.1123,-0.103073120117,-1.14002227783,0.1123,0.0572204589844,1.91078186035,0.1123,-0.0744819641113,-1.55334472656,0.1123,0.0471878051758,-0.553512573242,0.1123,0.0493240356445,-0.176811218262
0.1124,-0.111885070801,-1.78737640381,0.1124,0.110759735107,1.88655853271,0.1124,-0.093936920166,-0.702476501465,0.1124,0.0742530822754,1.71642303467,0.1124,-0.0775146484375,-0.741958618164,0.1124,0.0185966491699,-1.48029327393,0.1124,0.0243759155273,-1.34658813477
0.1125,-0.115528106689,-1.80854797363,0.1125,0.115013122559,1.79843902588,0.1125,-0.0765991210938,-0.164604187012,0.1125,0.0833892822266,1.30920410156,0.1125,-0.0671768188477,0.00858306884766,0.1125,-0.0154685974121,-2.0092010498,0.1125,-0.00938415527344,-2.01511383057
0.1126,-0.118274688721,-1.8238067627,0.1126,0.117149353027,1.67980194092,0.1126,-0.0601768493652,0.257682800293,0.1126,0.0806427001953,0.737953186035,0.1126,-0.0443649291992,0.856399536133,0.1126,-0.0470924377441,-1.9847869873,0.1126,-0.0425338745117,-1.93004608154
0.1127,-0.121002197266,-1.82991027832,0.1127,0.115623474121,1.50356292725,0.1127,-0.0373649597168,0.722694396973,0.1127,0.068473815918,0.0783920288086,0.1127,-0.0136375427246,1.52492523193,0.1127,-0.0659561157227,-1.42269134521,0.1127,-0.0601768493652,-1.04579925537
0.1128,-0.122528076172,-1.82991027832,0.1128,0.111064910889,1.30310058594,0.1128,-0.0130271911621,1.14803314209,0.1128,0.0477981567383,-0.599098205566,0.1128,0.0189018249512,1.90773010254,0.1128,-0.0671768188477,-0.477600097656,0.1128,-0.0562286376953,0.0783920288086
0.1129,-0.123748779297,-1.8238067627,0.1129,0.104064941406,1.06296539307,0.1129,0.0131225585938,1.48849487305,0.1129,0.0210380554199,-1.21898651123,0.1129,0.047492980957,1.90773010254,0.1129,-0.0519752502441,0.579833984375,0.1129,-0.0318908691406,1.24530792236
0.113,-0.124664306641,-1.81159973145,0.113,0.0952339172363,0.804710388184,0.113,0.0365447998047,1.73759460449,0.113,-0.00846862792969,-1.69315338135,0.113,0.065746307373,1.540184021,0.113,-0.0215530395508,1.47018432617,0.113,0.00278472900391,1.91078186035
0.1131,-0.124664306641,-1.78737640381,0.1131,0.0833892822266,0.522041320801,0.1131,0.0584411621094,1.87435150146,0.1131,-0.0373649597168,-1.98173522949,0.1131,0.0715255737305,0.868606567383,0.1131,0.01220703125,1.93214416504,0.1131,0.0350189208984,1.83181762695
0.1132,-0.124664306641,-1.7599105835,0.1132,0.0690841674805,0.224304199219,0.1132,0.0760841369629,1.8835067749,0.1132,-0.0629234313965,-2.03037261963,0.1132,0.0623893737793,0.0238418579102,0.1132,0.0435447692871,1.83486938477,0.1132,0.052661895752,1.03569030762
0.1133,-0.123748779297,-1.71737670898,0.1133,0.053882598877,-0.0795364379883,0.1133,0.089168548584,1.77402496338,0.1133,-0.0817680358887,-1.85413360596,0.1133,0.0414085388184,-0.839233398438,0.1133,0.0596618652344,1.23615264893,0.1133,0.0490188598633,-0.176811218262
0.1134,-0.122528076172,-1.6809463501,0.1134,0.0365447998047,-0.371170043945,0.1134,0.0958442687988,1.55220031738,0.1134,-0.0909042358398,-1.45606994629,0.1134,0.010986328125,-1.55029296875,0.1134,0.0593566894531,0.257682800293,0.1134,0.0246810913086,-1.34372711182
0.1135,-0.121002197266,-1.62925720215,0.1135,0.0195121765137,-0.656890869141,0.1135,0.0964546203613,1.22718811035,0.1135,-0.0896835327148,-0.900077819824,0.1135,-0.0212478637695,-1.97868347168,0.1135,0.0417137145996,-0.799751281738,0.1135,-0.00968933105469,-2.01511383057
0.1136,-0.118885040283,-1.57451629639,0.1136,0.00125885009766,-0.936508178711,0.1136,0.0909805297852,0.826072692871,0.1136,-0.0778198242188,-0.240516662598,0.1136,-0.0510597229004,-2.03647613525,0.1136,0.0106811523438,-1.65367126465,0.1136,-0.0425338745117,-1.93309783936
0.1137,-0.115833282471,-1.51081085205,0.1137,-0.0166893005371,-1.17950439453,0.1137,0.0794219970703,0.358009338379,0.1137,-0.0580406188965,0.433921813965,0.1137,-0.0714302062988,-1.71737670898,0.1137,-0.0233840942383,-2.05173492432,0.1137,-0.0601768493652,-1.12781524658
0.1138,-0.112800598145,-1.44081115723,0.1138,-0.0343322753906,-1.39827728271,0.1138,0.062084197998,-0.1220703125,0.1138,-0.0312805175781,1.05400085449,0.1138,-0.0799560546875,-1.0763168335,0.1138,-0.0525665283203,-1.89666748047,0.1138,-0.0559234619141,0.0814437866211
0.1139,-0.10913848877,-1.36184692383,0.1139,-0.0516700744629,-1.58672332764,0.1139,0.0414085388184,-0.608253479004,0.1139,-0.00207901000977,1.54304504395,0.1139,-0.0717353820801,-0.240516662598,0.1139,-0.0674819946289,-1.22814178467,0.1139,-0.0318908691406,1.24225616455
0.114,-0.104885101318,-1.28593444824,0.114,-0.0665664672852,-1.72348022461,0.114,0.0170707702637,-1.05800628662,0.114,0.0268173217773,1.8440246582,0.114,-0.0522613525391,0.616264343262,0.114,-0.0650405883789,-0.225448608398,0.114,0.00247955322266,1.90773010254
0.1141,-0.100631713867,-1.19781494141,0.1141,-0.0814628601074,-1.82991027832,0.1141,-0.00846862792969,-1.44691467285,0.1141,0.0529670715332,1.91993713379,0.1141,-0.0227737426758,1.36089324951,0.1141,-0.045280456543,0.816917419434,0.1141,0.0350189208984,1.83792114258
0.1142,-0.0957679748535,-1.10664367676,0.1142,-0.0930213928223,-1.87854766846,0.1142,-0.0328063964844,-1.7448425293,0.1142,0.0715255737305,1.7650604248,0.1142,0.00978469848633,1.82876586914,0.1142,-0.0139427185059,1.62830352783,0.1142,0.052661895752,1.03569030762
0.1143,-0.0909042358398,-1.0124206543,0.1143,-0.102157592773,-1.88751220703,0.1143,-0.0562286376953,-1.93309783936,0.1143,0.0821685791016,1.39122009277,0.1143,0.0395774841309,1.94416046143,0.1143,0.0204277038574,1.96857452393,0.1143,0.0490188598633,-0.176811218262
0.1144,-0.0851249694824,-0.912094116211,0.1144,-0.10913848877,-1.84803009033,0.1144,-0.0762939453125,-2.0092010498,0.1144,0.0818634033203,0.850296020508,0.1144,0.0617790222168,1.66473388672,0.1144,0.0481033325195,1.74980163574,0.1144,0.0246810913086,-1.34658813477
0.1145,-0.0790405273438,-0.811958312988,0.1145,-0.113410949707,-1.76601409912,0.1145,-0.0918006896973,-1.95140838623,0.1145,0.0712203979492,0.193977355957,0.1145,0.0712203979492,1.08127593994,0.1145,0.0611686706543,1.02958679199,0.1145,-0.00968933105469,-2.01511383057
